site_ref,job,suffix,item,description,oper_num,sequence,Material,MaterialDescription,matl_qty,qty_issued
HPI,3J00000386,1,SWB0304010,HP-60/80/150/200/LL SR SWITCH A UL/CE,10,6,RC03210100,INSULATION WIRE AWG22 WHITE (610),0.12000000,96.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,1,ECB7516130,C-8000 POWER CORD A'ssy,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,2,CS02900301-06,co)05CB/15CH CASING PBT SK602,2.00000000,68.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,3,OR10000200-02,"O-RING (P-6,BROWN)",2.00000000,68.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,4,VC0200031P,xx)co)C-5B VALVE COVER,2.00000000,68.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,5,VV01000100-04,co)kp)6E AIR VALVE E551,4.00000000,136.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,6,DF03300700-02A,kp)5CB DIAPHRAGM 33x4.5x1.2 Hs50,2.00000000,68.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,7,CS02900312-09,co)05CB DIAPHRAGM BASE w/o INSERT NUT,2.00000000,68.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,8,NE030820A1,M3X8 w/ small washer (trivalent),2.00000000,68.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,9,RDB3000580,C-5B PLASTIC ROD [MAGNETIZED],1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,10,FM01670720-00,xx)co)C-5BN YOKE w/ TOP HOLE (ZAM),1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,11,NZ00301200-01,05CB RUBBER TUBE EPDM Hs60,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,12,NE030813A0,M3 X 8 P-TITE TAPPING FE+PAN (trivalent),8.00000000,272.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,13,NE040801A8,M4X8P FE+PAN (trivalent),2.00000000,68.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,14,CSB2904511-P,C-5BN TANK BLOCK (G-1),1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,15,PK0200012P-05,co)C-5B-103 YOKE GASKET,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,16,NE046301A0,M4X63  HALF SCREW (trivalent),4.00000000,136.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,17,CAB05041P1,C-8000 LOWER CASE BLOCK,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,18,NZ00300910-01,co)C-5F NOZZLE PC SILVER PAINTING,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,19,JH00501000,SILICONE RUBBER TUBE D7-5 100m/ROLL,0.02500000,0.85000000
HPI,3J00000387,1,05CF10020P,C-8000,10,20,CA00500301-01,co)C-8000 UPPER CASE METALLIC GRAY,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,21,PK0200040P-01,C-5F RUBBER GASKET,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,22,NE041607A7,M4X16 TAPPING A (trivalent),4.00000000,136.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,23,AC19000210-01B,xx)RATING LABEL 53x36 (BLANK),1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,24,BI00001200,VINYL # 12 (0.03 X 230 x 340mm),1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,25,HO00501000-01,xx)op)WARRANTY C-8000 KYORIN,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,26,KA00501400-01,xx)co)C-8000 MANUAL WHITE,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,27,FIB0050100,C-5F FILTER BLOCK,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,28,DB0050090P,co)C-8000 BOX (S) KYORIN,1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,29,DB0050090P-1,C-8000 INNER PAD (BLISTER PACK),1.00000000,34.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,30,DB00500970,C-8000 BIG BOX (6 pcs.),0.16700000,6.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,31,SW00600700,SWITCH TYPE RA12KKFSOF LIGHT COUNTRY,0E-8,1.00000000
HPI,3J00000387,1,05CF10020P,C-8000,10,32,CA00500410-02,co)C-8000 LOWER CASE METALLIC SILVER,0E-8,1.00000000
HPI,3J00000397,1,40PR000030P,"HP-30, 40 ROD BLOCK PART",10,1,RDB4000100,HP-40 ROD [MAGNETIZED],1.00000000,0E-8
HPI,3J00000397,1,40PR000030P,"HP-30, 40 ROD BLOCK PART",10,2,LV04000100-01,WARNING LABEL FOR ROD PARTS,1.00000000,0E-8
HPI,3J00000397,1,40PR000030P,"HP-30, 40 ROD BLOCK PART",10,3,NT03090340-B,M3 LEAD LOCK NUT (trivalent) (P),2.00000000,0E-8
HPI,3J00000397,1,40PR000030P,"HP-30, 40 ROD BLOCK PART",10,4,WA03090310-B,M3xD10x0.8 PLAIN WASHER (trivalent) (P),2.00000000,0E-8
HPI,3J00000397,1,40PR000030P,"HP-30, 40 ROD BLOCK PART",10,5,BI00000100,LDPE POLY BAG 0.03 X 60 X 120mm,1.00000000,0E-8
HPI,3J00000397,1,40PR000030P,"HP-30, 40 ROD BLOCK PART",10,6,BI00000700,VINYL # 7 (0.03 x 120 x 230mm),1.00000000,0E-8
HPI,3J00000397,1,40PR000030P,"HP-30, 40 ROD BLOCK PART",10,7,DB00000700-03B,SALES PARTS BOX #6 O.D.142x108x86mm C FL,0.10000000,0E-8
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,1,FM03270905-01,80HP FRAME ZAM w/ M4 TAP 15.8,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,2,CG00300401-01,co)HP FRAME LEAD BUSHING D13,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,3,DK00600300-01,co)V.C.R. TYPE B2,4.00000000,2496.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,4,NE047001A0,M4X70 FE,6.00000000,3744.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,5,SR08051701,SPACER 8-5-17 (HP-80),6.00000000,3744.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,6,EM1660308P,HP-80 EM0.85×560 120V UL 2P,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,7,EM1660309P,HP-80 EM0.85×560 120V UL P3P,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,8,RC03220100,INSULATION WIRE AWG18 WHITE (305),0.10500000,65.52000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,9,JH00701000,SILICONE RUBBER TUBE D10-7 100m/ROLL,0.01000000,6.24000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,10,RC03220200,INSULATION WIRE AWG18 BLACK (305),0.09500000,59.28000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,11,NT04090410,NUT M4 typeII (trivalent),6.00000000,3744.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,12,DFB6602001,HP-80 DF BLOCK,2.00000000,1248.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,13,WA04090110-B,M4xD10x0.8 PLAIN WASHER (trivalent) (P),2.00000000,1248.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,14,NT04090340-B,M4 LEAD LOCK NUT (trivalent) (P),2.00000000,1248.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,15,RDB4600400,80HP MAGNETIZED FERRITE ROD,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,16,CSB6401012,HP-60/80 CASING BLOCK,2.00000000,1248.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,17,NE042005A0,M4X20 P=2 (trivalent),8.00000000,4992.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,18,HS08010057-04,"xx)co)HP-60/80 LOWER HOUSING (#10-32UNF,",1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,19,NE050601A0,UNF#10-32x1/4 SCREW (trivalent),1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,20,GK02000110,co)RUBBER FOOT 20x5.5x12 EPT Hs40,4.00000000,2496.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,21,NT05000200,CS PUSH NUT M5,4.00000000,2496.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,22,NI08070125-01,80HP PARTITION BOARD ZAM w/Earth mark,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,23,CG00900100-02,120HP LEAD BUSHING D9 EPT,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,24,LK14000200,xx)co)80HP L-TUBE Hs60,2.00000000,1248.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,25,HB0179010P-01,HP-60~200 HOSE CLIP 17.5mm for L-TUBE (P,2.00000000,1248.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,26,NP03000830-01A,xx)co)80HP PARTITION GASKET t2 (E-4308),1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,27,NE04081941-B,M4X8 P=3 BS EARTH SCREW,3.00000000,1872.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,28,NE051210A1,M5X12 HEXAGON w/SMALL WASHER (trivalent),6.00000000,3744.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,29,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,24.96000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,30,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,31,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,24.96000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,32,RCB3223009,GROUND WIRE A'ssy UL1015 AWG18 90mm G/Y,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,33,SWB0204010,HP-80 SWITCH BLOCK (UL),1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,34,NE041505A0-B,M4x15 P=2 +PAN HEAD LONG DOG POINT (triv,4.00000000,2496.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,35,NT04090410,NUT M4 typeII (trivalent),4.00000000,2496.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,36,HU08010027-04A,"xx)co)HP-80 UPPER HOUSING (M6,D4.8, gree",1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,37,LV08061000-00,HIBLOW LABEL for USA,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,38,FI08000150,80HP FILTER t14 PS/400,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,39,NE06300270,FE ±BINDING M6x30 Doluflake+Maiko paint,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,40,QN08000210-03,co)80HP SOUND ABSORBING NET FUJIRON5000Q,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,41,NE052010A4-B,M5X20 P=3 HEXAGON BLACK (trivalent),4.00000000,2496.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,42,LV08021032,HP-80-0110 UL-LABEL,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,43,LV00510730,DATE CODE,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,44,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,45,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,46,JHB1826511,L-HOSE SET (40),1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,47,NZB030225P,HP NOZZLE 10-32 UNF BLOCK w/ O-ring & Ma,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,48,DB08004430-01,HP-80 HIBLOW ARROW BOX,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,49,DB04002622-01,HP-30~80 SIDE PAD,2.00000000,1248.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,50,DB08004501-01,HP-80 UPPER PAD,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,51,DB08004403,HP-80 BOTTOM PAD,1.00000000,624.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,52,AC19001200-01B,RATING LABEL 61x41(BLANK),1.00000000,1012.00000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,53,AC30000070,TAC LABEL KRAFT PAPER A4,0.03000000,18.72000000
HPI,3J00000404,1,80HP20504P,HP-80-0110 with Amazon barcode SP,10,54,LV08061010-00,HIBLOW LABEL for USA BOX,1.00000000,624.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,3,CG00300401-01,co)HP FRAME LEAD BUSHING D13,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,4,DK00600300-01,co)V.C.R. TYPE B2,4.00000000,1040.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,5,SR08051701,SPACER 8-5-17 (HP-80),6.00000000,1560.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,6,EM1660308P,HP-80 EM0.85×560 120V UL 2P,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,7,EM1660309P,HP-80 EM0.85×560 120V UL P3P,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,8,NT04090410,NUT M4 typeII (trivalent),6.00000000,1560.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,9,DFB6602001,HP-80 DF BLOCK,2.00000000,520.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,10,NT04090340-B,M4 LEAD LOCK NUT (trivalent) (P),2.00000000,520.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,11,WA04090110-B,M4xD10x0.8 PLAIN WASHER (trivalent) (P),2.00000000,520.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,12,RDB4600400,80HP MAGNETIZED FERRITE ROD,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,13,CSB6401012,HP-60/80 CASING BLOCK,2.00000000,520.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,14,CG00900100-02,120HP LEAD BUSHING D9 EPT,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,15,NE042005A0,M4X20 P=2 (trivalent),8.00000000,2080.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,16,NI08070125-01,80HP PARTITION BOARD ZAM w/Earth mark,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,17,LK14000200,xx)co)80HP L-TUBE Hs60,2.00000000,520.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,18,HB0179010P-01,HP-60~200 HOSE CLIP 17.5mm for L-TUBE (P,2.00000000,520.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,19,NP03000830-02A,80HP PARTITION GASKET t2 (E-4308),1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,20,NE051210A1,M5X12 HEXAGON w/SMALL WASHER (trivalent),6.00000000,1560.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,21,HS08010055,xx)co)HP-80 LOWER HOUSING (side #10-32UN,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,22,ECB81010MUT3,POWER CORD A'ssy SJTW 2m for 80HP,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,23,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,10.40000000
HPI,3J00000407,1,80HP20511P,JA380,10,24,RG00900200,SUMI TUBE TYPE F2(Z) D9 BLACK 50m/ROLL,0.04000000,10.40000000
HPI,3J00000407,1,80HP20511P,JA380,10,25,NZ00300215-02,co)NOZZLE #10-32UNF BRASS,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,26,OR00300100-01,80HP O-RING D3.3 NBR Hs70,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,27,GK02000110,co)RUBBER FOOT 20x5.5x12 EPT Hs40,4.00000000,1040.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,28,RCB3223009,GROUND WIRE A'ssy UL1015 AWG18 90mm G/Y,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,29,NT05000200,CS PUSH NUT M5,4.00000000,1040.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,30,SWB0204010,HP-80 SWITCH BLOCK (UL),1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,31,NE04081941-B,M4X8 P=3 BS EARTH SCREW,3.00000000,780.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,32,FCB8002100,80HP FILTER COVER A'ssy (ABS) w/ BUSH an,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,33,NE041505A0-B,M4x15 P=2 +PAN HEAD LONG DOG POINT (triv,4.00000000,1040.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,34,NT04090410,NUT M4 typeII (trivalent),4.00000000,1040.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,35,RC03220100,INSULATION WIRE AWG18 WHITE (305),0.10500000,27.30000000
HPI,3J00000407,1,80HP20511P,JA380,10,36,RC03220200,INSULATION WIRE AWG18 BLACK (305),0.09500000,24.70000000
HPI,3J00000407,1,80HP20511P,JA380,10,37,JH00701000,SILICONE RUBBER TUBE D10-7 100m/ROLL,0.01000000,2.60000000
HPI,3J00000407,1,80HP20511P,JA380,10,38,NE06300270,FE ±BINDING M6x30 Doluflake+Maiko paint,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,39,FI08000150,80HP FILTER t14 PS/400,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,40,HU08010025-02,"xx)co)HP-80 UPPER HOUSING (M6,D4.8, gray",1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,41,KAB4000820,HP ENGLISH MANUAL w/o HIBLOW SET w/ SP-S,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,42,QN08000210-03,co)80HP SOUND ABSORBING NET FUJIRON5000Q,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,43,NE052010A4-B,M5X20 P=3 HEXAGON BLACK (trivalent),4.00000000,1040.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,44,DB04002622-01,HP-30~80 SIDE PAD,2.00000000,520.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,45,LV08021172-02,JA380 UL LABEL,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,46,LV00510730,DATE CODE,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,47,DB08004430-01,HP-80 HIBLOW ARROW BOX,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,48,DB08004501-01,HP-80 UPPER PAD,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,49,DB08004403,HP-80 BOTTOM PAD,1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,50,AC19001200-01B,RATING LABEL 61x41(BLANK),1.00000000,260.00000000
HPI,3J00000407,1,80HP20511P,JA380,10,51,FMB3270905,80HP FRAME ZAM w/ M4 TAP 15.8 A'ssy,1.00000000,260.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,1,FM03270905-01,80HP FRAME ZAM w/ M4 TAP 15.8,1.00000000,250.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,2,NE047001A0,M4X70 FE,6.00000000,1500.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,3,CG00300401-01,co)HP FRAME LEAD BUSHING D13,1.00000000,250.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,4,DK00600300-01,co)V.C.R. TYPE B2,4.00000000,1000.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,5,SR08051701,SPACER 8-5-17 (HP-80),6.00000000,1500.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,6,EM1660308P,HP-80 EM0.85×560 120V UL 2P,1.00000000,250.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,7,EM1660309P,HP-80 EM0.85×560 120V UL P3P,1.00000000,250.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,8,NT04090410,NUT M4 typeII (trivalent),6.00000000,1500.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,9,DFB6602001,HP-80 DF BLOCK,2.00000000,500.00000000
HPI,3J00000408,1,80HP20700P,HP-80-0122,10,10,WA04090110-B,M4xD10x0.8 PLAIN WASHER (trivalent) (P),2.00000000,500.00000000
